pair_id,day,baseline_position_mm,vibration_magnitude_mm,pre_vibration_position_mm,post_vibration_position_mm,residual_offset_mm,returned_to_baseline,days_unreturned_streak,discrepancy_mm,signal_intensity_pct,status_reference
WallPair02,18,0.0,1.2241,-0.039,0.0417,0.0417,True,0,0.0417,99.52,NORMAL
WallPair02,19,0.0,2.0814,0.0584,0.0887,0.0887,True,0,0.0887,97.77,NORMAL
WallPair02,20,0.0,1.0156,0.0578,0.048,0.048,True,0,0.048,97.84,NORMAL
WallPair02,21,0.0,1.4888,0.0514,0.042,0.042,True,0,0.042,98.19,NORMAL
WallPair02,22,0.0,1.1784,0.0344,-0.0037,-0.0037,True,0,0.0037,99.87,NORMAL
WallPair02,23,0.0,0.4279,-0.0222,-0.1486,-0.1486,True,0,0.1486,98.08,NORMAL
WallPair02,24,0.0,1.1556,-0.0409,0.0368,0.0368,True,0,0.0368,98.85,NORMAL
WallPair02,25,0.0,0.3852,-0.0508,0.0635,0.0635,True,0,0.0635,99.21,NORMAL
WallPair02,26,0.0,0.6642,0.0662,0.0727,0.0727,True,0,0.0727,99.41,NORMAL
WallPair02,27,0.0,0.1221,0.005,-0.0851,-0.0851,True,0,0.0851,97.87,NORMAL
WallPair02,28,0.0,1.5323,-0.0183,0.0145,0.0145,True,0,0.0145,98.2,NORMAL
WallPair02,29,0.0,0.4166,0.0729,0.0126,0.0126,True,0,0.0126,99.88,NORMAL
WallPair02,30,0.0,1.3135,-0.0446,-0.1056,-0.1056,True,0,0.1056,98.01,NORMAL
WallPair02,31,0.0,2.4991,-0.0768,-0.074,-0.074,True,0,0.074,99.57,NORMAL
WallPair02,32,0.0,2.7654,-0.0429,0.1846,0.1846,True,0,0.1846,98.27,NORMAL
WallPair02,33,0.0,1.6968,0.2637,-0.0913,-0.0913,True,0,0.0913,97.65,NORMAL
WallPair02,34,0.0,2.7336,-0.0686,-0.0068,-0.0068,True,0,0.0068,98.58,NORMAL
WallPair02,35,0.0,0.109,-0.015,0.0563,0.0563,True,0,0.0563,98.1,NORMAL
WallPair02,36,0.0,0.6854,0.049,0.1751,0.1751,True,0,0.1751,97.63,NORMAL
WallPair02,37,0.0,1.0691,0.1179,0.1632,0.1632,True,0,0.1632,99.25,NORMAL
WallPair02,38,0.0,1.8548,0.2234,-0.1741,-0.1741,True,0,0.1741,97.46,NORMAL
WallPair02,39,0.0,0.8301,0.0093,0.0143,0.0143,True,0,0.0143,98.27,NORMAL
WallPair02,40,0.0,1.6529,-0.0038,0.085,0.085,True,0,0.085,98.06,NORMAL
WallPair02,41,0.0,2.5773,0.0934,-0.0496,-0.0496,True,0,0.0496,98.19,NORMAL
WallPair02,42,0.0,0.9818,-0.0477,0.0391,0.0391,True,0,0.0391,99.7,NORMAL
WallPair02,43,0.0,1.5983,-0.1164,0.2384,0.2384,True,0,0.2384,97.23,NORMAL
WallPair02,44,0.0,1.0592,0.1965,0.0558,0.0558,True,0,0.0558,98.49,NORMAL
WallPair02,45,0.0,1.0301,-0.0381,-0.145,-0.145,True,0,0.145,97.5,NORMAL
WallPair02,46,0.0,1.7322,-0.1199,-0.0153,-0.0153,True,0,0.0153,99.38,NORMAL
WallPair02,47,0.0,1.1967,-0.0014,0.0275,0.0275,True,0,0.0275,99.46,NORMAL
WallPair02,48,0.0,1.7692,0.0141,-0.0222,-0.0222,True,0,0.0222,98.35,NORMAL
WallPair02,49,0.0,1.028,0.0118,-0.1022,-0.1022,True,0,0.1022,97.74,NORMAL
WallPair02,50,0.0,2.0481,0.0228,0.0853,0.0853,True,0,0.0853,99.53,NORMAL
WallPair02,51,0.0,1.414,0.0647,-0.0317,-0.0317,True,0,0.0317,98.97,NORMAL
WallPair02,52,0.0,2.1666,-0.0376,-0.1416,-0.1416,True,0,0.1416,99.41,NORMAL
WallPair02,53,0.0,1.467,-0.2373,-0.0578,-0.0578,True,0,0.0578,99.44,NORMAL
WallPair02,54,0.0,0.707,0.0404,0.0507,0.0507,True,0,0.0507,98.3,NORMAL
WallPair02,55,0.0,1.4594,-0.0296,-0.2031,-0.2031,True,0,0.2031,98.36,NORMAL
WallPair02,56,0.0,2.0524,-0.2675,-0.0415,-0.0415,True,0,0.0415,97.91,NORMAL
WallPair02,57,0.0,1.6715,-0.0536,-0.0246,-0.0246,True,0,0.0246,99.69,NORMAL
WallPair02,58,0.0,0.0808,-0.0449,0.0347,0.0347,True,0,0.0347,98.34,NORMAL
WallPair02,59,0.0,1.4936,0.1437,0.6343,0.6343,False,1,0.6343,96.83,NORMAL
WallPair02,60,0.0,2.4442,0.6339,1.6865,1.6865,False,2,1.6865,92.99,NORMAL
WallPair02,61,0.0,0.6273,1.6577,1.8968,1.8968,False,3,1.8968,90.53,WATCH
WallPair02,62,0.0,1.9947,1.935,2.7241,2.7241,False,4,2.7241,88.11,WATCH
WallPair02,63,0.0,1.0287,2.7531,3.1535,3.1535,False,5,3.1535,85.55,WARNING
WallPair02,64,0.0,1.6776,3.1371,3.8484,3.8484,False,6,3.8484,82.8,WARNING
WallPair02,65,0.0,1.4556,3.7843,4.5041,4.5041,False,7,4.5041,81.9,WARNING
WallPair02,66,0.0,1.1785,4.394,5.0339,5.0339,False,8,5.0339,78.09,WARNING
WallPair02,67,0.0,0.4639,5.0202,5.2453,5.2453,False,9,5.2453,77.05,WARNING
WallPair02,68,0.0,0.4253,5.2608,5.5031,5.5031,False,10,5.5031,76.95,WARNING
WallPair02,69,0.0,2.3189,5.4906,6.5582,6.5582,False,11,6.5582,73.09,WARNING
WallPair02,70,0.0,2.0488,6.5839,7.725,7.725,False,12,7.725,68.46,WARNING
WallPair02,71,0.0,1.5005,7.528,8.3177,8.3177,False,13,8.3177,66.15,CRITICAL
WallPair02,72,0.0,1.8327,8.2366,9.2131,9.2131,False,14,9.2131,61.27,CRITICAL
WallPair02,73,0.0,0.5988,9.1628,9.5985,9.5985,False,15,9.5985,60.7,CRITICAL
WallPair02,74,0.0,1.8474,9.5207,10.4457,10.4457,False,16,10.4457,56.58,CRITICAL
WallPair02,75,0.0,0.6721,10.4187,10.8148,10.8148,False,17,10.8148,56.07,CRITICAL
WallPair02,76,0.0,0.084,10.9193,10.8961,10.8961,False,18,10.8961,54.78,CRITICAL
WallPair02,77,0.0,0.7814,10.8677,11.3942,11.3942,False,19,11.3942,52.95,CRITICAL
WallPair02,78,0.0,0.2994,11.2867,11.5313,11.5313,False,20,11.5313,53.43,CRITICAL
WallPair02,79,0.0,1.2272,11.5055,12.1551,12.1551,False,21,12.1551,50.14,CRITICAL
WallPair02,80,0.0,1.7144,12.1847,13.0845,13.0845,False,22,13.0845,46.77,CRITICAL
WallPair02,81,0.0,0.9036,13.2257,13.6625,13.6625,False,23,13.6625,44.14,CRITICAL
WallPair02,82,0.0,2.074,13.6859,14.9644,14.9644,False,24,14.9644,39.31,CRITICAL
WallPair02,83,0.0,1.3966,14.9836,15.7288,15.7288,False,25,15.7288,35.35,CRITICAL
WallPair02,84,0.0,0.9204,15.8114,16.3981,16.3981,False,26,16.3981,33.63,CRITICAL
WallPair02,85,0.0,1.4338,16.4008,17.174,17.174,False,27,17.174,31.07,CRITICAL
WallPair02,86,0.0,1.2293,17.1878,18.0238,18.0238,False,28,18.0238,26.5,CRITICAL
WallPair02,87,0.0,0.3632,17.9943,18.3058,18.3058,False,29,18.3058,24.8,CRITICAL
WallPair02,88,0.0,1.4381,18.2045,19.0944,19.0944,False,30,19.0944,22.65,CRITICAL
WallPair02,89,0.0,0.075,19.1616,19.1831,19.1831,False,31,19.1831,22.12,CRITICAL
WallPair02,90,0.0,0.9901,19.2259,19.9624,19.9624,False,32,19.9624,19.49,CRITICAL
WallPair03,1,0.0,1.7432,0.0028,0.0102,0.0102,True,0,0.0102,99.14,NORMAL
WallPair03,2,0.0,0.9614,-0.0475,0.0033,0.0033,True,0,0.0033,99.72,NORMAL
WallPair03,3,0.0,0.8813,-0.0054,-0.0501,-0.0501,True,0,0.0501,97.8,NORMAL
WallPair03,4,0.0,1.5579,-0.0166,0.0141,0.0141,True,0,0.0141,98.61,NORMAL
WallPair03,5,0.0,1.5991,-0.0261,0.0408,0.0408,True,0,0.0408,98.37,NORMAL
WallPair03,6,0.0,1.252,-0.0825,-0.0562,-0.0562,True,0,0.0562,98.5,NORMAL
WallPair03,7,0.0,1.5054,-0.084,-0.128,-0.128,True,0,0.128,98.77,NORMAL
WallPair03,8,0.0,0.4849,0.0262,0.1044,0.1044,True,0,0.1044,98.3,NORMAL
WallPair03,9,0.0,0.4401,0.1297,-0.0111,-0.0111,True,0,0.0111,99.71,NORMAL
WallPair03,10,0.0,1.942,0.0167,0.0514,0.0514,True,0,0.0514,98.12,NORMAL
WallPair03,11,0.0,1.3443,0.0601,-0.0762,-0.0762,True,0,0.0762,99.66,NORMAL
WallPair03,12,0.0,3.3543,-0.0808,-0.0075,-0.0075,True,0,0.0075,98.53,NORMAL
WallPair03,13,0.0,0.683,0.0226,0.1221,0.1221,True,0,0.1221,97.62,NORMAL
WallPair03,14,0.0,0.304,0.0938,0.1322,0.1322,True,0,0.1322,98.49,NORMAL
WallPair03,15,0.0,0.9219,0.0548,0.0195,0.0195,True,0,0.0195,99.83,NORMAL
WallPair03,16,0.0,1.361,-0.0603,-0.0585,-0.0585,True,0,0.0585,99.18,NORMAL
WallPair03,17,0.0,1.6408,-0.1145,-0.0224,-0.0224,True,0,0.0224,99.39,NORMAL
WallPair03,18,0.0,0.6402,-0.0422,0.0322,0.0322,True,0,0.0322,98.44,NORMAL
WallPair03,19,0.0,0.1319,-0.0384,-0.0478,-0.0478,True,0,0.0478,99.12,NORMAL
WallPair03,20,0.0,1.3586,-0.0642,-0.1077,-0.1077,True,0,0.1077,99.0,NORMAL
WallPair03,21,0.0,3.0178,-0.0567,0.0573,0.0573,True,0,0.0573,97.82,NORMAL
WallPair03,22,0.0,1.3054,-0.0278,-0.1725,-0.1725,True,0,0.1725,98.33,NORMAL
WallPair03,23,0.0,1.2412,-0.1037,-0.0636,-0.0636,True,0,0.0636,99.57,NORMAL
WallPair03,24,0.0,0.4973,-0.1262,-0.1034,-0.1034,True,0,0.1034,99.31,NORMAL
WallPair03,25,0.0,0.6506,0.0856,-0.0469,-0.0469,True,0,0.0469,99.33,NORMAL
WallPair03,26,0.0,0.6176,-0.1265,-0.0882,-0.0882,True,0,0.0882,98.65,NORMAL
WallPair03,27,0.0,0.0762,-0.1419,-0.0506,-0.0506,True,0,0.0506,99.34,NORMAL
WallPair03,28,0.0,0.495,-0.0671,0.0795,0.0795,True,0,0.0795,98.91,NORMAL
WallPair03,29,0.0,1.8103,-0.0566,0.1395,0.1395,True,0,0.1395,98.94,NORMAL
WallPair03,30,0.0,1.7198,0.0288,-0.0651,-0.0651,True,0,0.0651,99.59,NORMAL
WallPair03,31,0.0,1.0211,-0.1252,-0.0344,-0.0344,True,0,0.0344,99.11,NORMAL
WallPair03,32,0.0,1.5136,0.102,0.1526,0.1526,True,0,0.1526,98.14,NORMAL
WallPair03,33,0.0,1.7715,0.0932,-0.0925,-0.0925,True,0,0.0925,98.96,NORMAL
WallPair03,34,0.0,1.5816,-0.0479,-0.0096,-0.0096,True,0,0.0096,98.36,NORMAL
WallPair03,35,0.0,1.7948,0.1344,0.1844,0.1844,True,0,0.1844,99.0,NORMAL
WallPair03,36,0.0,0.9221,0.1689,-0.0815,-0.0815,True,0,0.0815,97.91,NORMAL
WallPair03,37,0.0,1.4547,-0.0188,0.0256,0.0256,True,0,0.0256,98.48,NORMAL
WallPair03,38,0.0,1.2471,-0.0273,0.0289,0.0289,True,0,0.0289,98.44,NORMAL
WallPair03,39,0.0,2.0993,-0.007,0.0062,0.0062,True,0,0.0062,98.28,NORMAL
WallPair03,40,0.0,0.5771,0.0624,0.1952,0.1952,False,0,0.1952,98.87,NORMAL
WallPair03,41,0.0,1.5697,0.1641,0.3911,0.3911,False,0,0.3911,98.39,NORMAL
WallPair03,42,0.0,0.1051,0.5412,0.4625,0.4625,False,0,0.4625,97.18,NORMAL
WallPair03,43,0.0,1.3179,0.4634,0.728,0.728,False,1,0.728,95.81,NORMAL
WallPair03,44,0.0,0.8009,0.6953,0.8983,0.8983,False,2,0.8983,95.91,NORMAL
WallPair03,45,0.0,2.4562,0.9137,1.5736,1.5736,False,3,1.5736,93.13,WATCH
WallPair03,46,0.0,1.399,1.4736,1.8183,1.8183,False,4,1.8183,91.87,WATCH
WallPair03,47,0.0,1.8609,1.7683,2.2208,2.2208,False,5,2.2208,89.92,WATCH
WallPair03,48,0.0,1.7373,2.2998,2.7303,2.7303,False,6,2.7303,88.91,WATCH
WallPair03,49,0.0,1.9298,2.7794,3.3148,3.3148,False,7,3.3148,86.02,WARNING
WallPair03,50,0.0,0.3884,3.3198,3.4694,3.4694,False,8,3.4694,85.02,WARNING
WallPair03,51,0.0,0.4385,3.4471,3.6402,3.6402,False,9,3.6402,84.59,WARNING
WallPair03,52,0.0,2.7561,3.5208,4.3613,4.3613,False,10,4.3613,81.52,WARNING
WallPair03,53,0.0,1.5183,4.3146,4.9052,4.9052,False,11,4.9052,78.73,WARNING
WallPair03,54,0.0,2.1142,4.9585,5.4337,5.4337,False,12,5.4337,76.71,WARNING
WallPair03,55,0.0,0.238,5.5083,5.5922,5.5922,False,13,5.5922,76.31,WARNING
WallPair03,56,0.0,0.3028,5.5748,5.8013,5.8013,False,14,5.8013,75.17,WARNING
WallPair03,57,0.0,0.4486,5.6953,5.8657,5.8657,False,15,5.8657,76.1,WARNING
WallPair03,58,0.0,0.9987,5.8247,6.3106,6.3106,False,16,6.3106,72.93,WARNING
WallPair03,59,0.0,1.4861,6.2207,6.8257,6.8257,False,17,6.8257,72.46,WARNING
WallPair03,60,0.0,1.9691,6.7769,7.5655,7.5655,False,18,7.5655,69.03,WARNING
WallPair03,61,0.0,1.9397,7.4761,8.3409,8.3409,False,19,8.3409,66.41,CRITICAL
WallPair03,62,0.0,1.312,8.3572,8.9083,8.9083,False,20,8.9083,63.21,CRITICAL
WallPair03,63,0.0,0.8685,8.8687,9.1694,9.1694,False,21,9.1694,62.45,CRITICAL
WallPair03,64,0.0,1.5284,9.2131,9.9098,9.9098,False,22,9.9098,59.74,CRITICAL
WallPair03,65,0.0,0.7139,9.9254,10.2034,10.2034,False,23,10.2034,57.68,CRITICAL
WallPair03,66,0.0,1.0652,10.1894,10.6331,10.6331,False,24,10.6331,56.49,CRITICAL
WallPair03,67,0.0,2.1755,10.5773,11.7115,11.7115,False,25,11.7115,53.01,CRITICAL
WallPair03,68,0.0,0.5852,11.5676,11.9619,11.9619,False,26,11.9619,51.41,CRITICAL
WallPair03,69,0.0,1.6133,11.8935,12.6665,12.6665,False,27,12.6665,47.6,CRITICAL
WallPair03,70,0.0,1.6899,12.6436,13.4416,13.4416,False,28,13.4416,45.79,CRITICAL
WallPair03,71,0.0,2.2454,13.4788,14.5884,14.5884,False,29,14.5884,40.09,CRITICAL
WallPair03,72,0.0,1.2545,14.615,15.2786,15.2786,False,30,15.2786,37.66,CRITICAL
WallPair03,73,0.0,0.6409,15.2447,15.6331,15.6331,False,31,15.6331,36.05,CRITICAL
WallPair03,74,0.0,0.804,15.5447,15.9375,15.9375,False,32,15.9375,34.44,CRITICAL
WallPair03,75,0.0,1.2239,15.9277,16.6457,16.6457,False,33,16.6457,33.29,CRITICAL
WallPair03,76,0.0,1.2921,16.6075,17.4068,17.4068,False,34,17.4068,28.82,CRITICAL
WallPair03,77,0.0,0.8748,17.2515,17.8807,17.8807,False,35,17.8807,26.97,CRITICAL
WallPair03,78,0.0,1.1242,17.9088,18.5275,18.5275,False,36,18.5275,25.13,CRITICAL
WallPair03,79,0.0,1.6496,18.4047,19.4404,19.4404,False,37,19.4404,21.35,CRITICAL
WallPair03,80,0.0,0.6925,19.4088,19.8578,19.8578,False,38,19.8578,19.3,CRITICAL
WallPair03,81,0.0,2.1402,19.7539,21.0772,21.0772,False,39,21.0772,14.63,CRITICAL
WallPair03,82,0.0,1.1249,21.1344,21.7431,21.7431,False,40,21.7431,12.14,CRITICAL
WallPair03,83,0.0,1.3474,21.7644,22.6482,22.6482,False,41,22.6482,9.14,CRITICAL
WallPair03,84,0.0,0.3744,22.5977,22.8054,22.8054,False,42,22.8054,6.94,CRITICAL
WallPair03,85,0.0,0.9155,22.8885,23.4232,23.4232,False,43,23.4232,4.59,CRITICAL
WallPair03,86,0.0,0.5005,23.4873,23.7569,23.7569,False,44,23.7569,4.02,CRITICAL
WallPair03,87,0.0,1.8287,23.7904,24.9429,24.9429,False,45,24.9429,0.0,CRITICAL
