node_id,day,tilt_deg,displacement_mm,strain_microstrain,vibration_mms,risk_score_reference,status_reference
Node01,81,0.273,1.755,31.48,0.974,19.4,NORMAL
Node01,82,0.373,1.383,28.28,1.047,18.1,NORMAL
Node01,83,0.183,1.666,30.42,1.03,18.6,NORMAL
Node01,84,0.346,1.443,30.51,1.056,18.9,NORMAL
Node01,85,0.164,1.382,31.1,1.001,17.8,NORMAL
Node01,86,0.351,1.254,30.3,0.928,17.9,NORMAL
Node01,87,0.313,1.481,30.4,1.072,18.9,NORMAL
Node01,88,0.171,1.027,33.3,0.96,17.4,NORMAL
Node01,89,0.254,1.531,29.64,1.002,18.2,NORMAL
Node01,90,0.265,1.708,32.21,1.252,20.4,NORMAL
Node01,91,0.582,1.519,30.86,1.198,20.9,NORMAL
Node01,92,0.341,1.35,30.84,1.032,18.6,NORMAL
Node01,93,0.428,1.624,37.79,1.198,22.6,NORMAL
Node01,94,0.26,1.642,26.69,1.023,17.7,NORMAL
Node01,95,0.448,1.61,33.69,0.98,20.6,NORMAL
Node01,96,0.363,1.706,29.67,1.002,19.3,NORMAL
Node01,97,0.366,1.274,28.28,0.935,17.4,NORMAL
Node01,98,0.081,1.542,28.46,1.022,17.1,NORMAL
Node01,99,0.416,1.483,27.11,0.958,18.0,NORMAL
Node01,100,0.084,1.326,27.2,1.249,16.9,NORMAL
Node01,101,0.357,1.406,29.11,1.13,18.6,NORMAL
Node01,102,0.225,1.25,30.23,1.166,18.0,NORMAL
Node01,103,0.403,1.786,30.93,0.917,19.8,NORMAL
Node01,104,0.083,1.644,31.47,0.983,18.2,NORMAL
Node01,105,0.468,1.864,69.07,0.909,32.4,WATCH
Node01,106,0.061,1.416,30.53,0.997,17.2,NORMAL
Node01,107,0.398,1.519,32.75,1.141,20.4,NORMAL
Node01,108,0.407,1.745,27.18,0.888,18.4,NORMAL
Node01,109,0.265,1.744,29.84,1.073,19.2,NORMAL
Node01,110,0.122,1.625,33.23,0.992,18.9,NORMAL
Node01,111,0.426,1.433,26.8,1.109,18.3,NORMAL
Node01,112,0.465,1.522,30.47,0.853,19.0,NORMAL
Node01,113,0.283,1.508,36.46,1.013,20.5,NORMAL
Node01,114,0.293,1.315,28.79,1.106,17.9,NORMAL
Node01,115,0.218,1.341,30.25,1.176,18.3,NORMAL
Node01,116,0.003,1.546,31.89,0.823,17.1,NORMAL
Node01,117,0.18,1.588,35.56,0.925,19.6,NORMAL
Node01,118,0.476,1.062,31.45,0.91,18.3,NORMAL
Node01,119,0.136,1.459,31.83,1.026,18.2,NORMAL
Node01,120,0.072,1.515,33.07,0.86,17.9,NORMAL
Node01,121,0.266,1.706,34.04,1.019,20.2,NORMAL
Node01,122,0.0,1.382,28.75,1.115,16.6,NORMAL
Node01,123,0.221,1.335,28.82,1.056,17.4,NORMAL
Node01,124,0.058,1.411,27.72,1.039,16.4,NORMAL
Node01,125,0.124,1.186,34.24,1.092,18.4,NORMAL
Node01,126,0.311,1.382,31.79,1.087,19.1,NORMAL
Node01,127,0.474,1.42,27.08,1.046,18.4,NORMAL
Node01,128,0.388,1.137,33.85,1.05,19.3,NORMAL
Node01,129,0.149,1.614,33.76,0.968,19.1,NORMAL
Node01,130,0.061,1.422,30.13,1.102,17.4,NORMAL
Node01,131,0.302,1.064,27.64,0.921,16.3,NORMAL
Node01,132,0.447,1.595,27.41,0.989,18.6,NORMAL
Node01,133,0.0,1.345,26.41,0.981,15.3,NORMAL
Node01,134,0.181,1.6,28.08,1.111,17.9,NORMAL
Node01,135,0.328,1.216,29.76,1.055,17.9,NORMAL
Node01,136,0.032,1.53,29.58,1.21,17.8,NORMAL
Node01,137,0.508,1.225,26.57,1.04,17.8,NORMAL
Node01,138,0.361,1.449,30.23,1.181,19.3,NORMAL
Node01,139,0.149,1.554,32.3,1.002,18.6,NORMAL
Node01,140,0.349,1.648,28.11,0.997,18.5,NORMAL
Node01,141,0.433,1.288,33.29,0.985,19.5,NORMAL
Node01,142,0.366,1.364,31.01,1.101,19.1,NORMAL
Node01,143,0.188,1.331,29.75,1.214,18.1,NORMAL
Node01,144,0.162,1.668,31.76,0.991,18.8,NORMAL
Node01,145,0.323,1.775,27.59,0.878,18.2,NORMAL
Node01,146,0.301,1.394,34.05,1.163,20.0,NORMAL
Node01,147,0.0,1.577,28.31,1.117,17.0,NORMAL
Node01,148,0.138,1.418,31.25,1.024,17.9,NORMAL
Node01,149,0.402,1.329,26.98,1.027,17.6,NORMAL
Node01,150,0.326,1.52,29.88,0.839,18.1,NORMAL
Node01,151,0.249,1.455,33.25,1.231,19.9,NORMAL
Node01,152,0.36,1.175,31.7,0.973,18.3,NORMAL
Node01,153,0.352,1.34,32.78,1.093,19.5,NORMAL
Node01,154,0.216,1.79,24.36,0.922,16.8,NORMAL
Node01,155,0.073,1.513,29.41,0.81,16.6,NORMAL
Node01,156,0.238,1.577,31.74,0.802,18.3,NORMAL
Node01,157,0.069,1.767,28.79,0.976,17.6,NORMAL
Node01,158,0.43,1.634,25.47,1.027,18.2,NORMAL
Node01,159,0.209,1.574,27.71,1.074,17.7,NORMAL
Node01,160,0.0,1.481,33.85,1.117,18.5,NORMAL
Node01,161,0.54,1.581,28.75,0.933,19.3,NORMAL
Node01,162,0.215,1.795,29.2,1.077,18.9,NORMAL
Node01,163,0.37,1.403,32.41,0.774,18.6,NORMAL
Node01,164,0.412,1.549,29.95,0.992,19.1,NORMAL
Node01,165,0.0,1.689,29.14,1.095,17.5,NORMAL
Node01,166,0.287,1.462,35.45,0.979,20.0,NORMAL
Node01,167,0.241,1.405,28.39,1.005,17.4,NORMAL
Node01,168,0.221,1.277,29.69,0.973,17.3,NORMAL
Node01,169,0.129,1.42,31.7,1.091,18.2,NORMAL
Node01,170,0.452,1.623,29.58,1.091,19.7,NORMAL
Node01,171,0.016,1.688,29.31,1.166,17.9,NORMAL
Node01,172,0.167,1.391,31.11,0.934,17.6,NORMAL
Node01,173,0.04,1.237,29.9,1.225,17.2,NORMAL
Node01,174,0.33,1.465,27.34,0.855,17.2,NORMAL
Node01,175,0.152,1.675,28.8,1.122,18.2,NORMAL
Node01,176,0.349,1.2,31.47,1.129,18.8,NORMAL
Node01,177,0.039,1.068,28.26,0.984,15.4,NORMAL
Node01,178,0.251,1.455,29.29,0.931,17.7,NORMAL
Node01,179,0.0,1.835,26.82,1.101,17.2,NORMAL
Node01,180,0.272,1.167,29.07,0.95,17.0,NORMAL
Node01,181,0.391,1.436,29.0,1.149,18.9,NORMAL
Node01,182,0.074,1.644,27.65,1.011,17.0,NORMAL
Node01,183,0.218,1.584,28.44,1.181,18.4,NORMAL
Node01,184,0.277,1.404,30.72,1.142,18.8,NORMAL
Node01,185,0.418,1.715,26.54,1.171,19.1,NORMAL
Node01,186,0.256,1.593,26.83,0.834,17.0,NORMAL
Node01,187,0.401,1.603,27.8,1.021,18.6,NORMAL
Node01,188,0.527,1.79,25.57,1.122,19.4,NORMAL
Node01,189,0.337,1.6,28.85,1.086,18.9,NORMAL
Node01,190,0.346,1.869,26.81,1.08,19.0,NORMAL
Node01,191,0.419,1.599,26.6,1.061,18.5,NORMAL
Node01,192,0.322,1.43,26.31,1.072,17.5,NORMAL
Node01,193,0.459,1.455,27.81,1.15,19.0,NORMAL
Node01,194,0.228,1.416,28.0,0.985,17.2,NORMAL
Node01,195,0.18,1.843,28.68,0.887,18.0,NORMAL
Node01,196,0.099,1.486,28.09,1.109,17.2,NORMAL
Node01,197,0.018,1.752,25.75,1.042,16.6,NORMAL
Node01,198,0.394,1.174,29.03,1.294,18.7,NORMAL
Node01,199,0.231,1.394,26.19,1.081,16.9,NORMAL
Node01,200,0.143,1.294,27.84,1.215,17.1,NORMAL
Node01,201,0.3,1.347,24.03,1.075,16.4,NORMAL
Node01,202,0.381,1.287,25.14,1.057,16.9,NORMAL
Node01,203,0.41,1.495,25.65,0.859,17.2,NORMAL
Node01,204,0.533,1.652,24.82,1.155,18.9,NORMAL
Node01,205,0.385,1.404,26.67,1.118,18.0,NORMAL
Node01,206,0.515,1.596,28.95,1.219,20.2,NORMAL
Node01,207,0.077,1.528,27.26,1.156,17.1,NORMAL
Node01,208,0.078,1.548,23.67,1.095,15.8,NORMAL
Node01,209,0.206,1.394,29.41,0.994,17.5,NORMAL
Node01,210,0.25,1.435,26.62,0.979,16.9,NORMAL
Node01,211,0.122,1.364,48.83,0.993,23.1,NORMAL
Node01,212,0.287,1.682,25.4,0.955,17.3,NORMAL
Node01,213,0.0,1.561,29.78,1.0,17.1,NORMAL
Node01,214,0.1,1.461,28.01,1.027,16.8,NORMAL
Node01,215,0.323,1.579,28.8,1.04,18.6,NORMAL
Node01,216,0.159,1.53,26.11,1.254,17.5,NORMAL
Node01,217,0.313,1.352,25.93,0.852,16.3,NORMAL
Node01,218,0.343,1.531,31.02,0.959,19.0,NORMAL
Node01,219,0.193,1.51,24.48,1.015,16.3,NORMAL
Node01,220,0.146,1.703,26.98,1.312,18.4,NORMAL
Node01,221,0.27,1.388,27.84,1.03,17.4,NORMAL
Node01,222,0.199,1.268,21.33,0.888,14.2,NORMAL
Node01,223,0.265,1.403,30.3,1.178,18.7,NORMAL
Node01,224,0.211,1.398,25.4,1.002,16.3,NORMAL
Node01,225,0.088,1.638,30.61,1.06,18.2,NORMAL
Node01,226,0.262,1.445,21.81,1.072,15.8,NORMAL
Node01,227,0.351,1.541,26.98,0.95,17.7,NORMAL
Node01,228,0.564,1.851,57.78,0.909,29.2,WATCH
Node01,229,0.574,2.175,28.55,1.171,21.8,NORMAL
Node01,230,0.864,1.91,34.48,1.209,24.5,NORMAL
Node01,231,1.412,2.669,33.28,1.227,29.1,WATCH
Node01,232,1.531,3.534,33.34,1.708,33.7,WATCH
Node01,233,1.505,3.39,38.68,1.265,33.4,WATCH
Node01,234,2.327,2.934,46.6,1.587,39.8,WATCH
Node01,235,1.874,3.633,46.84,1.26,38.5,WATCH
Node01,236,2.622,5.108,53.94,1.843,50.5,WARNING
Node01,237,3.144,4.23,46.58,1.776,48.1,WATCH
Node01,238,2.427,5.329,48.37,2.717,51.3,WARNING
Node01,239,2.736,4.865,59.82,2.212,53.5,WARNING
Node01,240,3.4,6.515,54.08,2.676,61.1,WARNING
Node01,241,4.347,7.961,73.89,2.131,74.3,WARNING
Node01,242,4.234,7.612,73.05,1.83,71.5,WARNING
Node01,243,5.456,6.493,76.49,1.83,75.6,CRITICAL
Node01,244,4.034,6.318,68.67,1.588,64.7,WARNING
Node01,245,5.022,6.893,72.61,3.114,77.6,CRITICAL
Node01,246,5.751,7.75,59.99,2.419,77.3,CRITICAL
Node01,247,5.706,9.149,73.55,3.276,87.7,CRITICAL
Node01,248,3.818,7.08,64.19,2.368,66.9,WARNING
Node01,249,4.179,10.353,66.91,2.431,75.1,CRITICAL
Node01,250,5.532,7.102,80.84,2.186,80.2,CRITICAL
Node01,251,4.39,6.457,80.22,2.508,73.6,WARNING
Node01,252,3.991,6.566,71.49,1.837,66.9,WARNING
Node01,253,4.869,7.478,68.95,2.651,75.7,CRITICAL
Node01,254,5.098,6.043,74.73,2.316,73.6,WARNING
Node01,255,5.185,11.62,61.41,1.763,76.2,CRITICAL
Node01,256,4.396,9.549,78.99,2.509,80.3,CRITICAL
Node01,257,3.421,7.679,67.21,2.024,66.4,WARNING
Node01,258,3.305,8.772,68.6,1.724,68.3,WARNING
Node01,259,5.59,8.263,71.35,2.63,82.2,CRITICAL
Node01,260,5.581,6.782,77.81,2.792,80.6,CRITICAL
Node01,261,5.033,7.673,74.13,2.365,77.8,CRITICAL
Node01,262,4.752,7.8,76.2,2.923,79.2,CRITICAL
Node01,263,5.5,7.661,79.05,1.629,79.2,CRITICAL
Node01,264,4.624,8.895,86.67,2.027,82.0,CRITICAL
Node01,265,3.339,8.553,64.49,1.71,66.5,WARNING
Node01,266,4.078,8.694,77.05,2.329,76.6,CRITICAL
Node01,267,5.187,7.049,76.42,2.485,77.9,CRITICAL
Node01,268,3.644,7.625,74.17,2.452,71.0,WARNING
Node01,269,3.347,6.22,64.72,3.375,65.7,WARNING
Node01,270,5.539,9.207,79.49,2.081,84.7,CRITICAL
Node01,271,4.189,8.052,77.26,2.478,76.0,CRITICAL
Node01,272,3.816,7.459,70.87,2.834,71.6,WARNING
Node01,273,3.403,6.866,74.74,2.459,67.9,WARNING
Node01,274,4.701,7.838,73.99,1.723,74.4,WARNING
Node01,275,5.691,8.852,72.27,2.844,85.3,CRITICAL
Node01,276,4.326,8.975,75.64,2.064,77.3,CRITICAL
Node01,277,4.951,8.019,74.02,1.914,76.8,CRITICAL
Node01,278,4.095,7.324,56.97,2.286,66.4,WARNING
Node01,279,5.03,7.885,72.66,1.662,75.5,CRITICAL
Node01,280,4.409,8.188,82.82,3.288,81.9,CRITICAL
Node01,281,3.376,7.847,82.04,1.979,71.2,WARNING
Node01,282,4.559,8.397,82.32,2.6,80.8,CRITICAL
Node01,283,3.687,6.357,68.96,2.862,67.4,WARNING
Node01,284,3.719,7.272,61.42,2.035,65.0,WARNING
Node01,285,3.38,6.871,56.18,1.694,59.4,WARNING
Node01,286,3.944,7.131,77.71,3.276,75.0,WARNING
Node01,287,3.924,9.285,67.11,1.833,71.9,WARNING
Node01,288,4.567,7.126,76.38,2.482,75.0,WARNING
Node01,289,4.42,8.198,83.36,2.886,80.8,CRITICAL
Node01,290,5.264,8.008,66.12,2.754,78.6,CRITICAL
Node01,291,4.749,7.942,74.6,2.78,78.6,CRITICAL
Node01,292,5.151,7.337,67.89,2.543,76.1,CRITICAL
Node01,293,5.37,7.807,83.73,1.641,80.4,CRITICAL
Node01,294,3.487,7.484,73.29,2.879,71.0,WARNING
Node01,295,4.376,8.172,62.67,1.587,69.7,WARNING
Node01,296,5.912,6.886,82.44,2.574,83.3,CRITICAL
Node01,297,3.281,6.675,70.78,1.595,62.6,WARNING
Node01,298,4.272,7.524,67.18,3.026,73.6,WARNING
Node01,299,3.89,8.558,65.5,2.657,72.8,WARNING
Node01,300,3.504,6.269,73.73,2.295,65.9,WARNING
Node01,301,3.481,8.384,73.86,2.13,71.1,WARNING
Node01,302,5.117,7.964,87.44,2.544,83.8,CRITICAL
Node01,303,5.471,8.148,61.05,2.611,78.0,CRITICAL
Node01,304,4.922,7.472,77.4,1.984,76.4,CRITICAL
Node01,305,3.604,5.791,65.2,1.545,59.8,WARNING
Node01,306,4.506,8.859,67.06,2.34,76.1,CRITICAL
Node01,307,4.704,8.697,74.74,2.267,78.8,CRITICAL
Node01,308,4.942,6.781,75.92,2.792,76.8,CRITICAL
Node01,309,3.332,8.883,85.52,2.382,76.3,CRITICAL
Node01,310,4.745,8.93,81.5,2.141,81.4,CRITICAL
Node01,311,4.484,9.048,84.87,2.426,82.3,CRITICAL
Node01,312,4.704,8.403,61.24,2.713,75.2,CRITICAL
Node01,313,3.906,8.847,83.06,2.515,78.7,CRITICAL
Node01,314,4.442,6.89,60.61,2.97,70.4,WARNING
Node01,315,4.159,6.162,65.78,2.192,66.0,WARNING
Node01,316,3.835,8.59,66.2,2.179,71.2,WARNING
Node01,317,3.31,7.579,68.87,2.376,67.3,WARNING
Node01,318,3.752,6.888,68.19,2.676,68.3,WARNING
Node01,319,4.199,7.089,85.33,3.152,78.1,CRITICAL
Node01,320,5.084,7.061,60.59,3.197,74.8,WARNING
Node01,321,3.639,6.895,80.36,3.625,74.8,WARNING
Node01,322,3.192,8.143,65.35,2.311,66.9,WARNING
Node01,323,4.552,7.061,67.39,2.285,71.3,WARNING
Node01,324,6.059,6.988,84.87,2.505,84.6,CRITICAL
Node01,325,5.854,7.359,76.13,2.627,82.5,CRITICAL
Node01,326,3.916,8.794,67.57,2.801,74.7,WARNING
Node01,327,5.462,7.258,59.61,1.971,72.9,WARNING
Node01,328,4.475,8.124,66.28,2.529,74.3,WARNING
Node01,329,3.434,8.113,76.54,2.407,71.9,WARNING
Node01,330,4.796,6.744,76.03,2.203,74.1,WARNING
Node01,331,4.459,7.784,67.06,1.77,71.0,WARNING
Node01,332,3.303,7.141,62.31,2.834,65.5,WARNING
Node01,333,5.877,8.748,77.37,1.933,84.6,CRITICAL
Node01,334,3.827,7.557,61.22,1.667,65.0,WARNING
Node01,335,3.766,9.098,81.48,2.209,76.9,CRITICAL
Node01,336,4.101,7.27,66.42,3.727,74.1,WARNING
Node01,337,3.803,7.866,76.08,1.796,70.9,WARNING
Node01,338,3.621,8.359,80.71,1.328,71.2,WARNING
Node01,339,5.31,6.467,65.78,1.95,71.8,WARNING
Node01,340,2.816,6.052,61.74,2.178,57.7,WARNING
Node01,341,3.699,7.703,80.46,3.011,75.3,CRITICAL
Node01,342,4.201,7.564,61.36,3.122,71.8,WARNING
Node01,343,4.157,8.189,60.67,2.626,71.4,WARNING
Node01,344,3.531,9.115,73.22,3.15,76.3,CRITICAL
Node01,345,3.499,7.333,61.17,1.774,63.1,WARNING
Node01,346,5.083,10.019,79.47,3.092,85.8,CRITICAL
Node01,347,3.718,7.691,70.99,2.745,71.5,WARNING
Node01,348,4.812,7.986,72.11,1.799,75.0,WARNING
Node01,349,4.561,6.574,69.93,2.604,71.8,WARNING
Node01,350,3.749,6.793,70.62,3.059,70.1,WARNING
Node01,351,4.616,8.199,67.76,2.931,77.0,CRITICAL
Node01,352,4.974,8.083,70.85,2.658,78.6,CRITICAL
Node01,353,4.497,9.091,70.04,2.017,76.3,CRITICAL
Node01,354,4.216,6.514,58.6,2.088,64.6,WARNING
Node01,355,4.831,7.339,82.28,2.126,77.6,CRITICAL
Node01,356,4.225,9.229,74.87,2.74,78.9,CRITICAL
Node01,357,5.647,9.022,62.72,1.762,78.9,CRITICAL
Node01,358,4.403,5.817,73.78,3.536,73.3,WARNING
Node01,359,4.553,6.187,73.04,2.758,72.2,WARNING
Node01,360,3.705,9.0,80.57,1.97,75.5,CRITICAL
Node01,361,5.094,7.831,76.96,2.595,80.2,CRITICAL
Node01,362,4.198,7.275,77.97,3.149,76.3,CRITICAL
Node01,363,3.784,8.184,87.89,3.317,80.5,CRITICAL
Node01,364,6.029,9.742,68.36,3.701,88.9,CRITICAL
Node01,365,5.805,8.207,71.07,2.637,83.1,CRITICAL
Node02,1,0.581,1.597,17.84,1.224,17.1,NORMAL
Node02,2,0.874,0.691,17.91,1.116,15.7,NORMAL
Node02,3,0.691,1.15,16.52,1.18,15.8,NORMAL
Node02,4,0.713,0.937,20.25,1.307,16.9,NORMAL
Node02,5,0.552,0.622,17.06,1.343,14.4,NORMAL
Node02,6,0.746,0.982,15.25,1.193,15.2,NORMAL
Node02,7,0.503,1.154,16.42,1.194,14.9,NORMAL
Node02,8,0.529,1.111,15.06,1.3,14.8,NORMAL
Node02,9,0.687,0.958,18.73,1.302,16.3,NORMAL
Node02,10,0.633,1.351,16.88,0.942,15.4,NORMAL
Node02,11,0.728,0.825,19.98,1.196,16.2,NORMAL
Node02,12,0.735,1.41,15.79,1.222,16.6,NORMAL
Node02,13,0.592,1.353,13.8,1.212,15.1,NORMAL
Node02,14,0.632,1.066,22.42,1.113,16.9,NORMAL
Node02,15,0.634,1.082,17.01,1.192,15.5,NORMAL
Node02,16,0.734,0.88,19.89,1.308,16.8,NORMAL
Node02,17,0.755,1.316,11.87,1.265,15.4,NORMAL
Node02,18,0.718,0.968,20.76,1.203,16.8,NORMAL
Node02,19,0.71,1.495,16.02,1.231,16.9,NORMAL
Node02,20,0.751,1.199,18.19,1.231,16.9,NORMAL
Node02,21,0.636,0.996,14.61,1.223,14.6,NORMAL
Node02,22,0.633,1.05,20.89,1.204,16.7,NORMAL
Node02,23,0.613,1.223,13.64,1.243,14.9,NORMAL
Node02,24,0.752,1.218,11.34,1.364,15.3,NORMAL
Node02,25,0.662,1.306,16.27,1.184,16.0,NORMAL
Node02,26,0.62,1.459,20.43,1.273,17.8,NORMAL
Node02,27,0.546,1.569,15.35,1.208,16.0,NORMAL
Node02,28,0.67,1.479,11.65,1.209,15.2,NORMAL
Node02,29,0.695,0.971,15.95,1.3,15.5,NORMAL
Node02,30,0.645,0.921,25.22,1.292,18.1,NORMAL
Node02,31,0.813,1.655,22.89,1.201,19.9,NORMAL
Node02,32,0.619,1.105,12.91,1.228,14.3,NORMAL
Node02,33,0.697,1.109,22.92,1.25,18.0,NORMAL
Node02,34,0.641,1.444,25.19,1.198,19.2,NORMAL
Node02,35,0.652,0.908,13.59,1.27,14.3,NORMAL
Node02,36,0.644,1.283,20.33,1.17,17.1,NORMAL
Node02,37,0.54,0.896,17.93,1.18,14.8,NORMAL
Node02,38,0.719,1.142,23.16,1.309,18.4,NORMAL
Node02,39,0.629,0.534,22.74,1.071,15.4,NORMAL
Node02,40,0.574,1.128,21.38,1.242,16.9,NORMAL
Node02,41,0.722,0.998,23.63,1.243,18.0,NORMAL
Node02,42,0.609,1.181,22.41,1.151,17.2,NORMAL
Node02,43,0.87,1.203,22.42,1.062,18.3,NORMAL
Node02,44,0.66,0.696,21.43,1.061,15.5,NORMAL
Node02,45,0.759,0.827,23.01,1.271,17.6,NORMAL
Node02,46,0.759,1.29,20.32,1.355,18.3,NORMAL
Node02,47,0.667,0.852,26.66,1.209,18.2,NORMAL
Node02,48,0.771,1.302,19.21,1.266,17.8,NORMAL
Node02,49,0.698,1.238,16.87,1.148,16.1,NORMAL
Node02,50,0.565,1.319,28.92,1.05,19.1,NORMAL
Node02,51,0.509,0.656,16.35,1.093,13.2,NORMAL
Node02,52,0.662,0.723,21.05,1.16,15.8,NORMAL
Node02,53,0.77,1.293,28.72,1.386,21.1,NORMAL
Node02,54,0.672,1.396,20.05,1.093,17.2,NORMAL
Node02,55,0.703,0.963,21.43,1.282,17.2,NORMAL
Node02,56,0.695,0.87,22.45,1.268,17.2,NORMAL
Node02,57,0.631,1.485,19.9,1.195,17.5,NORMAL
Node02,58,0.764,1.267,9.74,1.12,14.2,NORMAL
Node02,59,0.572,0.834,23.24,1.212,16.6,NORMAL
Node02,60,0.655,0.957,16.48,1.181,15.1,NORMAL
Node02,61,0.715,1.382,15.46,1.141,16.1,NORMAL
Node02,62,0.83,1.351,12.49,1.307,16.2,NORMAL
Node02,63,0.629,1.042,21.19,1.147,16.6,NORMAL
Node02,64,0.598,1.433,20.32,1.326,17.8,NORMAL
Node02,65,0.693,1.18,20.63,1.253,17.4,NORMAL
Node02,66,0.721,1.13,22.67,1.096,17.6,NORMAL
Node02,67,0.691,1.452,15.52,1.2,16.4,NORMAL
Node02,68,0.685,1.062,16.95,1.245,15.9,NORMAL
Node02,69,0.749,1.288,19.99,1.358,18.2,NORMAL
